u,v,key,osmid,name,highway,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,dam_EV1_HZ_segments,dam_EV1_HZ,lanes,ref,maxspeed,junction,access
96572598,96715468,0,10879764,South 12th Street,residential,False,True,170.648,"[2762, 2764, 2768, 2005, 792, 2013, 2015]",719,44.0,0.004,1.0299999713897705,1.0,"[763.22, 821.39, 812.83, 681.46, 3257.41, 1148.11, 929.49]",8413.91,nan,nan,nan,nan,nan
96572598,4377126928,0,10879764,South 12th Street,residential,False,False,21.488999999999997,"[2769, 2034]",1083,44.0,0.0,1.0299999713897705,1.0,"[799.37, 505.77]",1305.14,nan,nan,nan,nan,nan
96572598,96572600,0,128600936,Beach Boulevard,primary,False,True,65.265,"[2009, 2011, 7]",7,56.0,0.001,1.0299999713897705,1.0,"[4776.42, 6500.09, 1051.08]",12327.59,5,US 90,35 mph,nan,nan
96572598,1375396018,0,128600936,Beach Boulevard,primary,False,False,108.543,"[2016, 2028, 2765, 2030, 1209]",975,56.0,0.002,1.0299999713897705,1.0,"[2867.91, 1421.3, 2838.69, 8397.46, 6267.91]",21793.27,5,US 90,35 mph,nan,nan
96572600,96634605,0,10886116,11th Street North,residential,False,True,89.21100000000001,"[2784, 505, 2087]",466,44.0,0.002,0.8199999928474426,1.0,"[679.41, 1674.51, 1315.14]",3669.06,nan,nan,nan,nan,nan
96572600,96572601,0,128600936,Beach Boulevard,primary,False,True,100.733,"[2083, 2085, 11, 1997, 2007, 2079]",11,56.0,0.002,0.8100000023841858,1.0,"[3983.08, 3281.96, 3259.42, 2400.8, 1057.73, 1742.54]",15725.53,5,US 90,35 mph,nan,nan
96572601,96700804,0,10878786,10th Street South,residential,False,True,147.248,"[1989, 1993, 1995, 1999, 2800, 767]",700,44.0,0.003,0.6100000143051147,0.9659817637769093,"[457.48, 792.01, 1164.94, 207.32, 533.49, 207.88]",3363.12,2,nan,nan,nan,nan
96572601,96634599,0,10886114,North 10th Street,residential,False,True,70.343,"[2075, 499, 2077, 2782]",462,56.0,0.001,0.6499999761581421,1.0,"[632.93, 1060.7, 748.27, 570.16]",3012.06,2,nan,35 mph,nan,nan
96572601,96572602,0,128600936,Beach Boulevard,primary,False,True,107.45,"[1985, 1991, 15, 2804, 2073]",15,56.0,0.002,0.8199999928474426,1.0,"[4879.7, 1119.24, 2026.7, 1755.55, 7141.45]",16922.64,5,US 90,35 mph,nan,nan
96572602,96631227,0,10874111,North 9th Street,residential,False,True,85.733,"[2091, 2780, 405]",369,44.0,0.002,0.8199999928474426,1.0,"[2090.13, 663.51, 802.75]",3556.39,nan,nan,nan,nan,nan
96572602,96770924,0,10884136,South 9th Street,tertiary,False,True,131.749,"[952, 1973, 2798, 1983]",849,50.0,0.003,0.8199999928474426,1.0,"[1442.99, 2879.95, 914.03, 521.81]",5758.78,2,nan,nan,nan,nan
96572602,96572603,0,128600936,Beach Boulevard,primary,False,True,108.44900000000001,"[2093, 2095, 2097, 2802, 19, 2099, 1975, 1977, 1979]",19,56.0,0.002,1.100000023841858,1.0,"[3770.8, 2985.62, 1180.1, 1617.22, 4811.39, 870.68, 1631.72, 1579.8, 3191.05]",21638.38,5,US 90,35 mph,nan,nan
96572603,96634597,0,10880336,North 8th Street,residential,False,True,102.714,"[2778, 2647, 495]",458,44.0,0.002,1.149999976158142,1.0,"[826.59, 3456.95, 2298.24]",6581.78,nan,nan,nan,nan,nan
96572603,96912619,0,10894908,South 8th Street,residential,False,True,113.82700000000001,"[2796, 1956, 1109, 1981]",956,44.0,0.003,1.1699999570846558,1.0,"[872.29, 898.63, 3395.23, 1620.87]",6787.02,nan,nan,nan,nan,nan
96572603,96572605,0,"[128600936, 435255811]",Beach Boulevard,primary,False,True,107.862,"[1929, 1932, 1958, 23]",23,56.0,0.002,1.25,1.0,"[3888.14, 7660.41, 9580.82, 1980.49]",23109.86,"['4', '5']",US 90,35 mph,nan,nan
96572605,96634596,0,10884265,7th Street North,residential,False,True,120.177,"[2776, 2105, 491, 2723]",454,44.0,0.003,1.4500000476837158,1.0,"[884.96, 3245.36, 1528.7, 2945.72]",8604.74,nan,nan,nan,nan,nan
96572605,96772621,0,10884324,7th Street South,residential,False,True,96.974,"[992, 1938, 2794]",887,44.0,0.002,1.2999999523162842,1.0,"[4195.23, 1584.04, 937.04]",6716.31,nan,nan,nan,nan,nan
96572605,96572606,0,435255811,Beach Boulevard,primary,False,True,107.727,"[1936, 1940, 1942, 27, 2109, 2111]",27,56.0,0.002,1.5099999904632568,1.0,"[3548.27, 6513.55, 2535.37, 4372.57, 5807.24, 712.68]",23489.68,4,US 90,35 mph,nan,nan
96572606,96716412,0,10879843,South 6th Street,residential,False,True,78.068,"[808, 2792, 1944]",735,44.0,0.002,1.5299999713897705,1.0,"[4048.39, 1090.11, 1006.92]",6145.42,nan,nan,nan,nan,nan
96572606,96669951,0,10883745,North 6th Street,residential,False,True,33.084,"[2774, 686]",626,44.0,0.001,1.5099999904632568,1.0,"[991.67, 1695.61]",2687.28,nan,nan,nan,nan,nan
96572606,96572607,0,435255811,Beach Boulevard,primary,False,True,108.34800000000001,"[1954, 1950, 30, 1127]",30,56.0,0.002,1.7599999904632568,1.0,"[1047.68, 9138.7, 12594.5, 3453.32]",26234.2,4,US 90,35 mph,nan,nan
96572607,2124932338,0,435255811,Beach Boulevard,primary,False,True,108.029,1243,978,56.0,0.002,2.009999990463257,1.0,[28395.01],28395.01,4,US 90,35 mph,nan,nan
96572607,96665463,0,10876469,South 5th Street,residential,False,True,61.385999999999996,"[672, 1922, 2790]",611,44.0,0.001,1.7599999904632568,1.0,"[436.73, 3687.16, 1091.14]",5215.03,nan,nan,nan,nan,nan
96572609,2922788766,0,683228798,Beach Boulevard,primary,True,False,17.39,32,31,56.0,0.0,1.7699999809265137,1.0,[2599.8],2599.8,2,US 90,35 mph,nan,nan
96572609,96632600,0,10874232,3rd Street South,primary,True,False,122.696,"[1920, 2810, 1919, 31]",32,56.0,0.002,1.9500000476837158,1.0,"[5590.38, 1022.05, 10185.62, 1922.19]",18720.24,2,FL A1A,35 mph,nan,nan
96572609,2124932338,0,202526447,Beach Boulevard,primary,True,False,108.425,"[1835, 2805, 1238, 1242, 1918]",981,56.0,0.002,2.009999990463257,1.0,"[3638.67, 1614.34, 3023.42, 6791.21, 2077.68]",17145.32,2,US 90,35 mph,nan,nan
96572609,2922706568,0,1126937651,3rd Street North,primary,True,False,12.311,1250,984,56.0,0.0,1.7699999809265137,1.0,[1848.7],1848.7,2,FL A1A,35 mph,nan,nan
96572612,3574801815,0,351669852,Beach Boulevard,residential,False,True,19.487,"[1361, 2532]",1075,44.0,0.0,2.0,1.0,"[1336.27, 538.92]",1875.19,nan,nan,nan,nan,nan
96572612,4419335614,0,633038681,nan,tertiary,True,False,8.891,"[34, 2183, 2184, 2185, 2186, 2835]",34,50.0,0.0,1.9700000286102295,1.0,"[105.26, 221.05, 218.41, 219.62, 110.47, 110.14]",984.95,nan,nan,nan,roundabout,nan
96572612,4419335612,0,633038681,nan,tertiary,True,False,7.890000000000001,"[2180, 2181, 2182, 2164, 2836, 2172]",1098,50.0,0.0,1.9700000286102295,1.0,"[223.26, 223.93, 120.36, 96.13, 112.36, 113.15]",889.19,nan,nan,nan,roundabout,nan
96572712,2922788764,0,122483548,1st Avenue South,residential,False,True,105.41499999999999,"[2534, 1801, 1321, 2538, 1815]",1054,44.0,0.002,2.3499999046325684,1.0,"[3676.41, 557.64, 836.66, 614.52, 4801.58]",10486.81,nan,nan,nan,nan,nan
96572712,96635103,0,122483548,1st Avenue South,residential,False,False,106.91799999999999,"[2881, 2535, 2539, 506, 2716]",467,44.0,0.002,2.3499999046325684,1.0,"[133.4, 5959.63, 591.05, 630.32, 3574.16]",10888.56,nan,nan,nan,nan,nan
96572712,96572713,0,683228857,2nd Street South,residential,False,True,103.965,"[2880, 1761, 42, 1803]",42,40.0,0.003,2.3499999046325684,1.0,"[4456.7, 2929.93, 915.68, 2395.12]",10697.43,nan,nan,25 mph,nan,nan
96572712,3574801809,0,683228857,2nd Street South,residential,False,False,84.832,"[1798, 1770, 2891, 1355, 1776, 1780, 1812]",1073,40.0,0.002,2.3499999046325684,1.0,"[1565.45, 2840.6, 567.96, 473.86, 1481.49, 741.31, 994.95]",8665.62,nan,nan,25 mph,nan,nan
96572713,96572714,0,683228845,South 2nd Street,residential,False,True,104.05199999999999,"[2878, 1753, 44, 1758]",44,40.0,0.003,2.299999952316284,1.0,"[922.81, 4477.87, 2270.5, 2935.46]",10606.64,nan,nan,25 mph,nan,nan
96572713,96578247,0,683228849,2nd Avenue South,residential,False,False,106.414,"[208, 2513, 2515]",190,44.0,0.002,2.369999885559082,1.0,"[977.39, 697.33, 9281.82]",10956.54,nan,nan,nan,nan,nan
96572713,2922788763,0,683228850,2nd Avenue South,residential,False,True,104.034,"[1319, 2508, 1805, 1808, 2876]",1052,44.0,0.002,2.309999942779541,1.0,"[635.83, 2025.8, 2198.01, 5038.83, 592.53]",10491.0,nan,nan,nan,nan,nan
96572714,96572717,0,10868875,South 2nd Street,residential,False,True,106.13000000000001,"[1408, 1739, 48, 50, 1748]",48,40.0,0.003,2.109999895095825,1.0,"[2870.58, 382.36, 1011.92, 3675.9, 2427.34]",10368.1,nan,nan,25 mph,nan,nan
96572714,2922788762,0,"[683228853, 683228854]",3rd Avenue South,residential,False,True,105.32300000000001,"[1317, 2510, 2512, 1746, 1750, 2870, 2874, 2396]",1050,44.0,0.002,2.25,1.0,"[499.88, 92.5, 79.08, 1220.06, 1954.67, 652.94, 1436.28, 4458.41]",10393.82,nan,nan,nan,nan,nan
