osmid,name,highway,maxspeed,oneway,reversed,length,rfid_c,geometry,rfid,avgspeed,time,bridge,access,lanes,service,alt_dist,alt_nodes,diff_dist,detour
"[711710580, 7481277]","['Hannemanstraat', 'Jacob Jordaensplein']",residential,30,False,"[False, True]",120.0,"[2, 322, 553, 555, 559]","LINESTRING (4.3100635 52.0688522, 4.3100476 52.06887, 4.3098467 52.0690954, 4.3097005 52.0692594, 4.3096923 52.0692566, 4.3088284 52.0689609)",158,30.0,14.0,nan,nan,nan,nan,,nan,,0
7481459,Hooftskadelaan,residential,30,False,True,55.0,11,"LINESTRING (4.30922 52.0695133, 4.3088348 52.0699502)",5,30.0,7.0,nan,nan,nan,nan,,nan,,0
7481479,Hooftskadelaan,residential,30,False,True,58.0,17,"LINESTRING (4.3096342 52.0696309, 4.3092157 52.0700807)",9,30.0,7.0,nan,nan,nan,nan,,nan,,0
7481296,Wellingtonstraat,residential,30,False,True,60.0,428,"LINESTRING (4.3121671 52.0697316, 4.3129246 52.0699953)",172,30.0,7.0,nan,nan,nan,nan,,nan,,0
345622189,Koningstraat,residential,30,True,False,46.0,"[22, 15]","LINESTRING (4.3132223 52.0701002, 4.3132764 52.0700372, 4.3135525 52.0697411)",14,30.0,6.0,nan,nan,nan,nan,,nan,,0
7481479,Hooftskadelaan,residential,30,False,False,30.0,16,"LINESTRING (4.3088348 52.0699502, 4.3092157 52.0700807)",8,30.0,4.0,nan,nan,nan,nan,,nan,,0
7481115,Hooftskadelaan,residential,30,False,True,32.0,"[552, 25]","LINESTRING (4.3086063 52.0702022, 4.308803 52.0699853, 4.3088348 52.0699502)",17,30.0,4.0,nan,nan,nan,nan,,nan,,0
"[206679780, 206679774]","['Nicolaas Penninghof', 'Hooftskadelaan']",residential,30,False,"[False, True]",48.0,"[416, 418, 380]","LINESTRING (4.3094411 52.0703592, 4.3095361 52.0702491, 4.309577 52.0702008, 4.3092157 52.0700807)",171,30.0,6.0,nan,nan,nan,nan,,nan,,0
7481126,Jacob Catsstraat,residential,30,False,True,138.0,"[32, 564, 45]","LINESTRING (4.3097676 52.0712144, 4.3099858 52.0709639, 4.3103021 52.0706007, 4.3107202 52.0701208)",26,30.0,17.0,nan,nan,nan,nan,430.0,"[45113455, 45115928, 45117099, 45119614, 45117394]",292.0,1
7481126,Jacob Catsstraat,residential,30,False,False,139.0,"[4, 13, 415]","LINESTRING (4.3116777 52.0690214, 4.3113003 52.0694547, 4.3108036 52.070025, 4.3107202 52.0701208)",170,30.0,17.0,nan,nan,nan,nan,,nan,,0
7481313,Waterloostraat,residential,30,False,True,146.0,"[561, 27, 37, 431]","LINESTRING (4.3125973 52.0707408, 4.3121776 52.0705961, 4.3116044 52.0704058, 4.3108887 52.0701729, 4.3107202 52.0701208)",22,30.0,17.0,nan,nan,nan,nan,422.0,"[45113455, 45117394, 45119614, 45117099, 45115928]",276.0,1
345622189,Koningstraat,residential,30,True,False,56.0,30,"LINESTRING (4.3132223 52.0701002, 4.3128043 52.0705341)",18,30.0,7.0,nan,nan,nan,nan,,nan,,0
208748643,Wellingtonstraat,residential,30,True,False,24.0,429,"LINESTRING (4.3132223 52.0701002, 4.3129246 52.0699953)",173,30.0,3.0,nan,nan,nan,nan,,nan,,0
7476026,Oranjeplein,residential,30,False,True,105.0,606,"LINESTRING (4.3153949 52.0701246, 4.316642 52.0706679)",190,30.0,13.0,nan,nan,nan,nan,,nan,,0
"[7480784, 7480780]","['Falckstraat', 'Tullinghstraat']",residential,30,True,False,102.0,"[384, 385, 9, 24, 28, 382, 383]","LINESTRING (4.3153949 52.0701246, 4.3153 52.0702, 4.3152126 52.070184, 4.3144861 52.0698568, 4.3144159 52.0698198, 4.3143842 52.0697854, 4.3143841 52.069752, 4.3144192 52.069677)",16,30.0,12.0,nan,nan,nan,nan,,nan,,0
7476046,Fagelstraat,residential,30,False,True,87.0,"[34, 611, 444, 613]","LINESTRING (4.3138718 52.0709603, 4.3133774 52.0707263, 4.3132155 52.0706713, 4.3129002 52.0705641, 4.3128043 52.0705341)",174,30.0,10.0,nan,nan,nan,nan,267.0,"[45114856, 45115928, 45117099, 45118782, 2191518748]",180.0,1
345622189,Koningstraat,residential,30,True,False,27.0,"[633, 614, 38]","LINESTRING (4.3125973 52.0707408, 4.3126247 52.0707248, 4.31269 52.0706554, 4.3128043 52.0705341)",23,30.0,3.0,nan,nan,nan,nan,327.0,"[45114856, 2191518748, 45118782, 45117099, 45115928]",300.0,1
140412539,Hooftskade,residential,30,True,False,133.0,"[632, 366, 46]","LINESTRING (4.3097676 52.0712144, 4.3086412 52.0708262, 4.3082041 52.0706755, 4.3080726 52.0706302)",27,30.0,16.0,nan,nan,nan,nan,,nan,,0
7476427,Van Limburg Stirumstraat,residential,30,True,False,130.0,"[35, 644, 645]","LINESTRING (4.3167851 52.0707417, 4.3173503 52.0709812, 4.3181323 52.0713251, 4.3183349 52.0714077)",20,30.0,16.0,nan,nan,nan,nan,590.0,"[45115551, 45117756, 1401604230, 45120702, 45118074]",460.0,1
7476442,Oranjeplein,residential,30,True,False,81.0,"[640, 36]","LINESTRING (4.3167851 52.0707417, 4.3167085 52.0708003, 4.3160841 52.0713314)",21,30.0,10.0,nan,nan,nan,nan,639.0,"[45115551, 45118074, 45120702, 1401604230, 45117756]",558.0,1
345622189,Koningstraat,residential,30,True,False,49.0,"[42, 562]","LINESTRING (4.3122596 52.0711258, 4.3123517 52.0710203, 4.3125973 52.0707408)",24,30.0,6.0,nan,nan,nan,nan,305.0,"[45115928, 45113455, 45117394, 45119614, 45117099]",256.0,1
780590501,Slijpmolen,residential,30,True,False,103.0,"[57, 567]","LINESTRING (4.3135677 52.0715739, 4.3131658 52.0714321, 4.3122596 52.0711258)",35,30.0,12.0,nan,nan,nan,nan,251.0,"[45117099, 45119614, 45121399, 45118782]",148.0,1
345622189,Koningstraat,residential,30,True,False,92.0,"[634, 635, 62]","LINESTRING (4.3115942 52.0718406, 4.3117354 52.0716881, 4.3121011 52.0712961, 4.3122596 52.0711258)",38,30.0,11.0,nan,nan,nan,nan,298.0,"[45117099, 45118782, 45121399, 45119614]",206.0,1
7477630,Hooftskade,residential,30,False,False,143.0,"[370, 60, 487]","LINESTRING (4.3115942 52.0718406, 4.3114816 52.0718022, 4.3103548 52.0714171, 4.3097676 52.0712144)",37,30.0,17.0,nan,nan,nan,nan,425.0,"[45117394, 45113455, 45115928, 45117099, 45119614]",282.0,1
7476122,Van Hogendorpstraat,residential,30,True,False,278.0,"[576, 641, 580, 575, 48, 569, 570, 571, 572, 573, 574, 639]","LINESTRING (4.3160841 52.0713314, 4.3163851 52.071461, 4.316731 52.0716099, 4.3169343 52.0717003, 4.3171518 52.0717969, 4.3173724 52.0718949, 4.3175817 52.071988, 4.3177901 52.0720806, 4.3180004 52.072174, 4.318211 52.0722673, 4.3186148 52.072449, 4.3193093 52.0727558, 4.319375 52.0727848)",28,30.0,33.0,nan,nan,nan,nan,442.0,"[45117756, 45119962, 45125834, 1401604232, 1401604230]",164.0,1
7476442,Oranjeplein,residential,30,True,False,83.0,"[49, 637, 565]","LINESTRING (4.3160841 52.0713314, 4.3156496 52.071698, 4.3154352 52.071879, 4.3153934 52.0719391)",29,30.0,10.0,nan,nan,nan,nan,640.0,"[45117756, 1401604230, 1401604232, 45125834, 45119962]",557.0,1
